"","text","screen_name","user_id","created_at","favorite_count","retweet_count","location","followers_count","friends_count","account_lang","lang"
"5408","@RayChensStrad aw <U+0001F62D> i just remembered the last time I was at a classical concert was more than a year ago I miss it so much <U+0001F62D><U+0001F62D> my mom bought tickets for concerts in may but who knows if I'll even be able to go","twosetnavarra","1252587307523280898",2021-03-17 22:34:01,1,0,"she/her",476,548,NA,"en"
"5409","Fantastic night celebrating St Patrick’s night with @TheLogues ... fantastic online concert. Thanks guys. We will fly to Ireland to see you when safe . <U+2618><U+FE0F><U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F>","TrishDickson02","1285344361",2021-03-17 22:34:00,0,0,"Scotland, United Kingdom",543,652,NA,"en"
"5410","One of my dream is to go to a @Pikarin_shiina concert and do mosh-pit during <U+795E><U+5504> {Kami Uta} (original song by the legendary visual-kei band “Phantasmagoria”) in honor of the old days... <U+0001F97A>

#Pikarin #KamiUta #MoshPit https://t.co/hxFH2tfSCj","Serox_Visual","1488020749",2021-03-17 22:33:58,5,0,"<U+0001F1EE><U+0001F1F9> ITALY <U+0001F1EE><U+0001F1F9>",1333,616,NA,"en"
"5411","i am putting it out there that one day we will see taylor in concert again and scream the lyrics to her songs","wednesdaycxfe","1243629314479972359",2021-03-17 22:33:54,1,0,"she/her",646,115,NA,"en"
"5412","https://t.co/Q9wB7bahfn

@amityaffliction  Can't wait to see you in concert guys! As well as @FIROfficial @Architectsuk You rock my life!","knoettka","2334254587",2021-03-17 22:33:41,0,0,"Hamburg",23,126,NA,"en"
"5413","@Travistritt I live for the next concert!","ethyl_seeley","1070687388924633089",2021-03-17 22:33:39,0,0,"Indiana, USA",29,9,NA,"en"
"5414","If I don’t get to a Sade concert before I die, it will be a life only partially lived.","WHITcouture","315315877",2021-03-17 22:33:37,3,2,"",639,491,NA,"en"
"5415","@ritorubatto2 @CultureCrave @Variety Other way around. Fortnite has near 400 Million players, making it a huge marketing space. For ex- Travis concert was watched by over 28 Million + concurrent, trending worldwide &amp; after the event his whole catalogue was in top 10 charts. Companies die for that kind of exposure","OfficialHack77","1472584495",2021-03-17 22:33:17,0,0,"",37,35,NA,"en"
"5416","He manifested all of this. Every fucking concert/twitter rant was for a reason lol.

He’s a musical/fashion icon 

I’m so glad he wasn’t too cool for a safe belt <U+0001F64F><U+0001F3FE><U+0001F495> https://t.co/54UQG3YELn","TrixieNumbaNine","1314267093144133638",2021-03-17 22:33:06,11,2,"Chicago, IL",7249,1214,NA,"en"
"5417","@meganranney Little things. Going to a restaurant and concert with my mom. Miss it. The little things I took for granted. My parents are fully vaccinated. Waiting on me.","tracywine105","383286715",2021-03-17 22:33:06,1,0,"Boston, MA",777,1456,NA,"en"
"5418","Tyler, The Creator: NPR Music Tiny Desk Concert https://t.co/dJ0GLUbQBD via @YouTube 

@santnx frescoboi v i b e s","bujaozinh0","628402738",2021-03-17 22:33:03,1,0,"",70,212,NA,"en"
